<<<<<<< HEAD
657XVT: $42.30 
046HKC: $18.70 
908XNZ: $26.60 
349USG: $89.00 
290MEN: $84.00 
029MZH: $47.25 
481WPQ: $92.35 
549SPQ: $134.80 
261IDD: $52.85 
418PXR: $191.95 
917IWU: $169.80 
202FUF: $226.15 
856HFF: $100.85 
340PBT: $24.60 
064BYE: $21.80 
621VWC: $21.30 
810EWP: $63.90 
376DDS: $35.50 
693NMP: $37.60 
290MEN: $70.85 
511QKV: $46.05 
168BUT: $81.95 
799BUO: $132.85 
260QYO: $87.35 
908XNZ: $112.25 
410OWZ: $93.20 
883ZYX: $159.30 
688QHN: $154.35 
449XLO: $149.80 
042FMO: $124.35 
394BDU: $154.30 
190VUD: $145.70 
934NHK: $180.40 
451HLR: $146.00 
819PHA: $229.75 
510XTI: $203.60 
936CIO: $223.75 
910NDQ: $171.85 
510SLS: $201.65 
409DRM: $179.40 
333IIC: $228.90 
333RZU: $81.15 
727SWM: $187.35 
438GCC: $210.00 
704IQV: $104.50 
194FSA: $166.20 
190PKY: $161.55 
177BLJ: $212.70 
410OWZ: $32.75 
896MZE: $229.40 
137JEG: $227.45 
480GML: $125.75 
693NMP: $28.35 
340PBT: $81.45 
549SPQ: $58.00 
042FMO: $50.45 
174JJD: $62.30 
472AGU: $54.35 
231SVE: $-7.00 
288MUO: $112.95 
621QMB: $139.00 
400MOQ: $121.00 
511QKV: $128.95 
624BPP: $74.95 
029MZH: $139.60 
042FMO: $10.85 
646HLJ: $68.05 
177BLJ: $60.90 
657XVT: $68.55 
890GKB: $44.00 
753BMQ: $118.55 
231SVE: $109.55 
227IFW: $102.55 
261IDD: $84.30 
190PKY: $102.75 
437PPK: $42.10 
810EWP: $150.15 
042WCI: $142.00 
934NHK: $135.60 
081EGU: $167.15 
288MUO: $22.55 
481WPQ: $210.85 
896MZE: $52.35 
606WFJ: $210.45 
511QKV: $218.75 
931KQD: $244.30 
064BYE: $225.95 
889DTO: $203.40 
856HFF: $191.80 
615XIX: $10.00 
333IIC: $9.25 
495UQC: $39.20 
462PQO: $36.20 
767FWZ: $60.00 
361ECD: $102.45 
753BMQ: $102.45 
438GCC: $86.25 
174JJD: $27.65 
349USG: $12.90 
803JOW: $110.00 
480GML: $151.50 
122WIV: $147.00 
597ILR: $143.90 
258ZMG: $-3.90 
511QKV: $209.20 
624BPP: $193.50 
394BDU: $200.45 
029MZH: $175.30 
030DWF: $201.25 
934NHK: $193.80 
606WFJ: $140.30 
168BUT: $185.95 
270RZO: $79.80 
910NDQ: $51.25 
376DDS: $191.35 
174JJD: $128.45 
265UDF: $199.85 
775CGD: $16.15 
890GKB: $229.30 
753BMQ: $14.60 
799BUO: $171.85 
569ETO: $161.90 
936CIO: $193.40 
088FSB: $172.25 
376DDS: $167.25 
438GCC: $67.75 
474KHO: $147.20 
177BLJ: $161.20 
594QVK: $187.60 
510SLS: $237.65 
896MZE: $244.55 
361ECD: $14.45 
753BMQ: $159.40 
472AGU: $200.00 
258ZMG: $176.25 
137JEG: $137.80 
410OWZ: $29.40 
480GML: $31.65 
889DTO: $165.40 
409DRM: $213.60 
064BYE: $190.30 
333IIC: $51.05 
799BUO: $238.60 
029MZH: $160.00 
594QVK: $107.00 
621QMB: $157.85 
046HKC: $47.05 
910NDQ: $87.20 
657XVT: $220.05 
447CHZ: $118.50 
867EUY: $181.65 
936CIO: $93.35 
