Size of shared memory: 3640
Loaded 100 plates
927KOB Queue - Waiting
927KOB Queue - Success
927KOB Entry - Attempt
449XLO Queue - Waiting
449XLO Queue - Success
449XLO Entry - Attempt
437PPK Queue - Waiting
437PPK Queue - Success
437PPK Entry - Attempt
NBD418 Queue - Waiting
NBD418 Queue - Success
NBD418 Entry - Attempt
ROD081 Queue - Waiting
TJA071 Queue - Waiting
231SVE Queue - Waiting
XYK512 Queue - Waiting
621VWC Queue - Waiting
SDV011 Queue - Waiting
NBD418 Entry - Success
NBD418 Entry - Not Allowed
NBD418 Destroy - Success 
621VWC Queue - Success
621VWC Entry - Attempt
174JJD Queue - Waiting
449XLO Entry - Success
449XLO Park - Attempt
ROD081 Queue - Success
ROD081 Entry - Attempt
927KOB Entry - Success
927KOB Park - Attempt
TJA071 Queue - Success
TJA071 Entry - Attempt
437PPK Entry - Success
437PPK Park - Attempt
231SVE Queue - Success
231SVE Entry - Attempt
621VWC Entry - Success
621VWC Park - Attempt
TJA071 Entry - Success
TJA071 Entry - Not Allowed
TJA071 Destroy - Success 
XYK512 Queue - Success
XYK512 Entry - Attempt
ROD081 Entry - Success
ROD081 Entry - Not Allowed
ROD081 Destroy - Success 
SDV011 Queue - Success
SDV011 Entry - Attempt
SDV011 Entry - Success
SDV011 Entry - Not Allowed
SDV011 Destroy - Success 
174JJD Queue - Success
174JJD Entry - Attempt
XYK512 Entry - Success
XYK512 Entry - Not Allowed
XYK512 Destroy - Success 
174JJD Entry - Success
174JJD Park - Attempt
231SVE Entry - Success
231SVE Park - Attempt
775CGD Queue - Waiting
775CGD Queue - Success
775CGD Entry - Attempt
775CGD Entry - Success
775CGD Park - Attempt
349USG Queue - Waiting
349USG Queue - Success
349USG Entry - Attempt
349USG Entry - Success
349USG Park - Attempt
621VWC Park - Success
621VWC Exit - Attempt
621VWC Exit - Success
237RJM Queue - Waiting
237RJM Queue - Success
237RJM Entry - Attempt
190PKY Queue - Waiting
190PKY Queue - Success
190PKY Entry - Attempt
237RJM Entry - Success
237RJM Park - Attempt
190PKY Entry - Success
190PKY Park - Attempt
231SVE Park - Success
231SVE Exit - Attempt
231SVE Exit - Success
IRZ897 Queue - Waiting
IRZ897 Queue - Success
IRZ897 Entry - Attempt
IRZ897 Entry - Success
IRZ897 Entry - Not Allowed
IRZ897 Destroy - Success 
DSW389 Queue - Waiting
DSW389 Queue - Success
DSW389 Entry - Attempt
DSW389 Entry - Success
DSW389 Entry - Not Allowed
DSW389 Destroy - Success 
YFA579 Queue - Waiting
YFA579 Queue - Success
YFA579 Entry - Attempt
YFA579 Entry - Success
YFA579 Entry - Not Allowed
YFA579 Destroy - Success 
ZUG319 Queue - Waiting
ZUG319 Queue - Success
ZUG319 Entry - Attempt
ZUG319 Entry - Success
ZUG319 Entry - Not Allowed
ZUG319 Destroy - Success 
927KOB Park - Success
927KOB Exit - Attempt
927KOB Exit - Success
511QKV Queue - Waiting
511QKV Queue - Success
511QKV Entry - Attempt
511QKV Entry - Success
511QKV Park - Attempt
174JJD Park - Success
174JJD Exit - Attempt
174JJD Exit - Success
376DDS Queue - Waiting
376DDS Queue - Success
376DDS Entry - Attempt
376DDS Entry - Success
376DDS Park - Attempt
447CHZ Queue - Waiting
447CHZ Queue - Success
447CHZ Entry - Attempt
447CHZ Entry - Success
447CHZ Park - Attempt
437PPK Park - Success
437PPK Exit - Attempt
437PPK Exit - Success
775CGD Park - Success
775CGD Exit - Attempt
URH452 Queue - Waiting
URH452 Queue - Success
URH452 Entry - Attempt
URH452 Entry - Success
URH452 Entry - Not Allowed
URH452 Destroy - Success 
349USG Park - Success
349USG Exit - Attempt
775CGD Exit - Success
349USG Exit - Success
633WYV Queue - Waiting
633WYV Queue - Success
633WYV Entry - Attempt
633WYV Entry - Success
633WYV Park - Attempt
DTN467 Queue - Waiting
DTN467 Queue - Success
DTN467 Entry - Attempt
DTN467 Entry - Success
DTN467 Entry - Not Allowed
DTN467 Destroy - Success 
511QKV Park - Success
511QKV Exit - Attempt
449XLO Park - Success
449XLO Exit - Attempt
333IIC Queue - Waiting
333IIC Queue - Success
333IIC Entry - Attempt
333IIC Entry - Success
333IIC Park - Attempt
449XLO Exit - Success
190PKY Park - Success
190PKY Exit - Attempt
190PKY Exit - Success
ZPG406 Queue - Waiting
ZPG406 Queue - Success
ZPG406 Entry - Attempt
ZPG406 Entry - Success
ZPG406 Entry - Not Allowed
ZPG406 Destroy - Success 
237RJM Park - Success
237RJM Exit - Attempt
237RJM Exit - Success
QWU249 Queue - Waiting
QWU249 Queue - Success
QWU249 Entry - Attempt
QWU249 Entry - Success
QWU249 Entry - Not Allowed
QWU249 Destroy - Success 
349USG Queue - Waiting
349USG Queue - Success
349USG Entry - Attempt
565LTC Queue - Waiting
565LTC Queue - Success
565LTC Entry - Attempt
349USG Entry - Success
349USG Park - Attempt
565LTC Entry - Success
565LTC Park - Attempt
376DDS Park - Success
376DDS Exit - Attempt
HKC861 Queue - Waiting
HKC861 Queue - Success
HKC861 Entry - Attempt
376DDS Exit - Success
HKC861 Entry - Success
HKC861 Entry - Not Allowed
HKC861 Destroy - Success 
321XRD Queue - Waiting
321XRD Queue - Success
321XRD Entry - Attempt
447CHZ Park - Success
447CHZ Exit - Attempt
321XRD Entry - Success
321XRD Park - Attempt
447CHZ Exit - Success
LAV422 Queue - Waiting
LAV422 Queue - Success
LAV422 Entry - Attempt
LAV422 Entry - Success
LAV422 Entry - Not Allowed
LAV422 Destroy - Success 
349USG Park - Success
349USG Exit - Attempt
349USG Exit - Success
549QHD Queue - Waiting
549QHD Queue - Success
549QHD Entry - Attempt
549QHD Entry - Success
549QHD Park - Attempt
451HLR Queue - Waiting
451HLR Queue - Success
451HLR Entry - Attempt
451HLR Entry - Success
451HLR Park - Attempt
437PPK Queue - Waiting
437PPK Queue - Success
437PPK Entry - Attempt
437PPK Entry - Success
437PPK Park - Attempt
080UPF Queue - Waiting
080UPF Queue - Success
080UPF Entry - Attempt
080UPF Entry - Success
080UPF Park - Attempt
549QHD Park - Success
549QHD Exit - Attempt
549QHD Exit - Success
237RJM Queue - Waiting
237RJM Queue - Success
237RJM Entry - Attempt
237RJM Entry - Success
237RJM Park - Attempt
321XRD Park - Success
321XRD Exit - Attempt
321XRD Exit - Success
361ECD Queue - Waiting
361ECD Queue - Success
361ECD Entry - Attempt
361ECD Entry - Success
361ECD Park - Attempt
565LTC Park - Success
565LTC Exit - Attempt
DDY684 Queue - Waiting
DDY684 Queue - Success
DDY684 Entry - Attempt
565LTC Exit - Success
DDY684 Entry - Success
DDY684 Entry - Not Allowed
DDY684 Destroy - Success 
693NMP Queue - Waiting
693NMP Queue - Success
693NMP Entry - Attempt
693NMP Entry - Success
693NMP Park - Attempt
333IIC Park - Success
333IIC Exit - Attempt
333IIC Exit - Success
JZC001 Queue - Waiting
JZC001 Queue - Success
JZC001 Entry - Attempt
JZC001 Entry - Success
JZC001 Entry - Not Allowed
JZC001 Destroy - Success 
KVY403 Queue - Waiting
KVY403 Queue - Success
KVY403 Entry - Attempt
KVY403 Entry - Success
KVY403 Entry - Not Allowed
KVY403 Destroy - Success 
030DWF Queue - Waiting
030DWF Queue - Success
030DWF Entry - Attempt
349USG Queue - Waiting
349USG Queue - Success
349USG Entry - Attempt
030DWF Entry - Success
030DWF Park - Attempt
349USG Entry - Success
349USG Park - Attempt
237RJM Park - Success
237RJM Exit - Attempt
237RJM Exit - Success
GVB043 Queue - Waiting
GVB043 Queue - Success
GVB043 Entry - Attempt
GVB043 Entry - Success
GVB043 Entry - Not Allowed
GVB043 Destroy - Success 
910NDQ Queue - Waiting
910NDQ Queue - Success
910NDQ Entry - Attempt
910NDQ Entry - Success
910NDQ Park - Attempt
349USG Park - Success
349USG Exit - Attempt
349USG Exit - Success
IGY284 Queue - Waiting
IGY284 Queue - Success
IGY284 Entry - Attempt
451HLR Park - Success
451HLR Exit - Attempt
IGY284 Entry - Success
IGY284 Entry - Not Allowed
IGY284 Destroy - Success 
451HLR Exit - Success
042FMO Queue - Waiting
042FMO Queue - Success
042FMO Entry - Attempt
449XLO Queue - Waiting
449XLO Queue - Success
449XLO Entry - Attempt
449XLO Entry - Success
449XLO Park - Attempt
042FMO Entry - Success
042FMO Park - Attempt
361ECD Park - Success
361ECD Exit - Attempt
361ECD Exit - Success
030DWF Park - Success
030DWF Exit - Attempt
UVW135 Queue - Waiting
UVW135 Queue - Success
UVW135 Entry - Attempt
UVW135 Entry - Success
UVW135 Entry - Not Allowed
UVW135 Destroy - Success 
030DWF Exit - Success
449XLO Park - Success
449XLO Exit - Attempt
449XLO Exit - Success
080UPF Park - Success
080UPF Exit - Attempt
080UPF Exit - Success
KGU437 Queue - Waiting
IFU496 Queue - Waiting
321XRD Queue - Waiting
IFU496 Queue - Success
IFU496 Entry - Attempt
931KQD Queue - Waiting
931KQD Queue - Success
931KQD Entry - Attempt
KGU437 Queue - Success
KGU437 Entry - Attempt
IFU496 Entry - Success
IFU496 Entry - Not Allowed
IFU496 Destroy - Success 
KGU437 Entry - Success
KGU437 Entry - Not Allowed
KGU437 Destroy - Success 
321XRD Queue - Success
321XRD Entry - Attempt
931KQD Entry - Success
931KQD Park - Attempt
321XRD Entry - Success
321XRD Park - Attempt
361ECD Queue - Waiting
361ECD Queue - Success
361ECD Entry - Attempt
264PAY Queue - Waiting
264PAY Queue - Success
264PAY Entry - Attempt
437PPK Park - Success
437PPK Exit - Attempt
264PAY Entry - Success
264PAY Park - Attempt
437PPK Exit - Success
361ECD Entry - Success
361ECD Park - Attempt
IQR238 Queue - Waiting
IQR238 Queue - Success
IQR238 Entry - Attempt
IQR238 Entry - Success
IQR238 Entry - Not Allowed
IQR238 Destroy - Success 
RQC749 Queue - Waiting
RQC749 Queue - Success
RQC749 Entry - Attempt
RQC749 Entry - Success
RQC749 Entry - Not Allowed
RQC749 Destroy - Success 
MIH720 Queue - Waiting
MIH720 Queue - Success
MIH720 Entry - Attempt
MIH720 Entry - Success
MIH720 Entry - Not Allowed
MIH720 Destroy - Success 
418PXR Queue - Waiting
418PXR Queue - Success
418PXR Entry - Attempt
418PXR Entry - Success
418PXR Park - Attempt
910NDQ Park - Success
910NDQ Exit - Attempt
910NDQ Exit - Success
321XRD Park - Success
321XRD Exit - Attempt
447CHZ Queue - Waiting
447CHZ Queue - Success
447CHZ Entry - Attempt
321XRD Exit - Success
447CHZ Entry - Success
447CHZ Park - Attempt
AKF631 Queue - Waiting
AKF631 Queue - Success
AKF631 Entry - Attempt
AKF631 Entry - Success
AKF631 Entry - Not Allowed
AKF631 Destroy - Success 
190PKY Queue - Waiting
190PKY Queue - Success
190PKY Entry - Attempt
190PKY Entry - Success
190PKY Park - Attempt
042FMO Park - Success
042FMO Exit - Attempt
042FMO Exit - Success
LLK178 Queue - Waiting
LLK178 Queue - Success
LLK178 Entry - Attempt
LLK178 Entry - Success
LLK178 Entry - Not Allowed
LLK178 Destroy - Success 
447CHZ Park - Success
447CHZ Exit - Attempt
447CHZ Exit - Success
910NDQ Queue - Waiting
910NDQ Queue - Success
910NDQ Entry - Attempt
333RZU Queue - Waiting
333RZU Queue - Success
333RZU Entry - Attempt
910NDQ Entry - Success
910NDQ Park - Attempt
333RZU Entry - Success
333RZU Park - Attempt
190PKY Park - Success
190PKY Exit - Attempt
190PKY Exit - Success
361ECD Park - Success
361ECD Exit - Attempt
258ZMG Queue - Waiting
258ZMG Queue - Success
258ZMG Entry - Attempt
361ECD Exit - Success
258ZMG Entry - Success
258ZMG Park - Attempt
418PXR Park - Success
418PXR Exit - Attempt
418PXR Exit - Success
264PAY Park - Success
264PAY Exit - Attempt
264PAY Exit - Success
ZHP330 Queue - Waiting
ZHP330 Queue - Success
ZHP330 Entry - Attempt
409DRM Queue - Waiting
409DRM Queue - Success
409DRM Entry - Attempt
333IIC Queue - Waiting
333IIC Queue - Success
333IIC Entry - Attempt
ZHP330 Entry - Success
ZHP330 Entry - Not Allowed
ZHP330 Destroy - Success 
333IIC Entry - Success
333IIC Park - Attempt
409DRM Entry - Success
409DRM Park - Attempt
XZO228 Queue - Waiting
XZO228 Queue - Success
XZO228 Entry - Attempt
XZO228 Entry - Success
XZO228 Entry - Not Allowed
XZO228 Destroy - Success 
409DRM Park - Success
409DRM Exit - Attempt
409DRM Exit - Success
XOK704 Queue - Waiting
XOK704 Queue - Success
XOK704 Entry - Attempt
657XVT Queue - Waiting
657XVT Queue - Success
657XVT Entry - Attempt
XOK704 Entry - Success
XOK704 Entry - Not Allowed
XOK704 Destroy - Success 
657XVT Entry - Success
657XVT Park - Attempt
333IIC Park - Success
333IIC Exit - Attempt
333IIC Exit - Success
FKI978 Queue - Waiting
FKI978 Queue - Success
FKI978 Entry - Attempt
USL643 Queue - Waiting
USL643 Queue - Success
USL643 Entry - Attempt
FKI978 Entry - Success
FKI978 Entry - Not Allowed
FKI978 Destroy - Success 
USL643 Entry - Success
USL643 Entry - Not Allowed
USL643 Destroy - Success 
657XVT Park - Success
657XVT Exit - Attempt
ARS933 Queue - Waiting
ARS933 Queue - Success
ARS933 Entry - Attempt
ARS933 Entry - Success
ARS933 Entry - Not Allowed
ARS933 Destroy - Success 
657XVT Exit 
